ID,頭文字,品目名,item_name,小型家電回収対象,出し方,category,出し方のポイント,point,品目名_output,item_name_output,完全一致1,完全一致2,完全一致3
1,あ,アイスピック,ice pick,,小さな金属類,Small metal items,尖った部分は新聞紙等で包む。,Wrap the sharp part in newspaper etc.,アイスピック,Ice pick,nan,nan,nan
2,あ,アイロン(プラスチック製),clothes iron (made of plastic),◎,燃やすごみ,Burnable garbage,,,アイロン(プラスチック製),Clothes iron (made of plastic),clothes iron,nan,nan
3,あ,アイロン(金属製),clothes iron (made of metal),◎,小さな金属類,Small metal items,,,アイロン(金属製),Clothes iron (made of metal),clothes iron,nan,nan
4,あ,アイロン台,clothes ironing board,,粗大ごみ,Oversized garbage,マットのみ・木製・プラスチック製で50cm未満のものは燃やすごみへ。金属製で30cm未満のものは小さな金属類へ。,"Mats only, wooden, plastic, and less than 50cm are burned. Metal and less than 30cm to Small metal itemss",アイロン台,Clothes Ironing board,nan,nan,nan
5,あ,雨合羽 あまがっぱ(ゴム・ビニール製)、レインコート,raincoat (made by rubber / vinyl),,燃やすごみ,Burnable garbage,,,雨合羽 あまがっぱ(ゴム・ビニール製),raincoat (made of rubber or vinyl),raincoat,nan,nan
6,あ,編み機、機織り機,knitting machine,,粗大ごみ,Oversized garbage,,,編み機,knitting machine,nan,nan,nan
7,あ,アルバム、思い出,album,,燃やすごみ,Burnable garbage,,,アルバム,album,nan,nan,nan
8,あ,アルミはく、アルミ箔、アルミホイル,aluminum / aluminum foil,,燃やすごみ,Burnable garbage,,,アルミはく、アルミ箔、アルミホイル,Aluminum foil,aluminium,foil,nan
10,あ,足拭きマット、お風呂マット、バスマット,bath rug/bath mat,,燃やすごみ,Burnable garbage,"珪藻土製品で50cm未満のものは燃えないごみ、50cm以上のものは粗大ごみへ。ただし、石綿(アスベスト)含有の珪藻土製品は、市では収集できません。回収方法等については、販売店・メーカーへお問合せください。詳しくは<a href=""https://www.city.yokohama.lg.jp/kurashi/sumai-kurashi/gomi-recycle/gomi/shushufuka/asubesuto.html"">市ホームページ</a>へ。","Diatomaceous earth products with less than 50 mm are not burning, and those with 50 mm or more are oversized garbage. However, diatomaceous earth products containing asbestos (asbestos) cannot be collected in the city. Please contact the dealer / manufacturer for collection methods. For more information, go to <a href=""https://www.city.yokohama.lg.jp/kurashi/suMai-kurashi/gomi-recycle/gomi/shushufuka/asubesuto.html""> City website </a>.",足拭きマット,bath rug,nan,nan,nan
11,あ,アンテナ,antenna,,粗大ごみ,Oversized garbage,金属製で30cm未満は小さな金属類。,Small metal itemss for less than 30cm with metal.,アンテナ,antenna,nan,nan,nan
12,あ,アイスクリームの容器・包装(紙製)、アイス、アイスクリーム、空箱,ice cream container / packaging (made of paper)/cup,,燃やすごみ,Burnable garbage,アイスが直接入っていない外箱は古紙へ。,The outer box that does not directly contain ice is to the paper.,アイスクリームの容器・包装(紙製),Ice cream container / packaging (made of paper),ice cream,nan,nan
13,あ,アイスクリームの容器・包装(プラスチック製)、アイス、アイスクリーム、空箱,ice cream container / packaging (made of plastic)/cup,,プラスチック製容器包装,Plastic containers and packaging,,,アイスクリームの容器・包装(プラスチック製),Ice cream container / packaging (made of plastic),ice cream,nan,nan
14,あ,アイスボックス、クーラーボックス,icebox / cooler box/ice box,,粗大ごみ,Oversized garbage,50cm未満のものは燃やすごみへ。,Those with less than 50cm are to Burnable garbage.,アイスボックス,cooler,cooler,nan,nan
15,あ,アクセサリー、ネックレス、ピアス、イヤリング、ブレスレット、イヤーカフ、ダッカール、ネックレス,accessories / necklace / earrings / bracelet / ear cuff/jewelry,,小さな金属類,Small metal items,木製・プラスチック製のものは燃やすごみへ。ガラス・陶器製のものは燃えないごみへ。,Wooden and plastic items are burned to Burnable garbage. Glass and pottery items are not burned garbage.,アクセサリー,accessories,accessories,nan,nan
16,あ,アクリルケース,acrylic case / glass,,燃やすごみ,Burnable garbage,50cm以上のものは粗大ごみへ。,"If you are more than 50cm, go to the oversized garbage.",アクリルケース,Acrylic case,nan,nan,nan
17,あ,アクリル製の板、プラスチック製の板、アクリル板,acrylic / plastic plate,,燃やすごみ,Burnable garbage,50cm以上のものは粗大ごみへ。,"If you are more than 50cm, go to the oversized garbage.",アクリル製の板、プラスチック製の板,Acrylic or plastic plate,nan,nan,nan
18,あ,アコーディオンカーテン,accordion curtain/frolding door/glass,,粗大ごみ,Oversized garbage,,,アコーディオンカーテン,Accordion curtain,nan,nan,nan
19,あ,葦、あし、アシ、よし、ヨシ、植物、木,reed/plant/grass,,燃やすごみ,Burnable garbage,,,葦,reed,reed,nan,nan
20,あ,足ひれ(フィン)、フィン,fin/swimfin/flipper,,燃やすごみ,Burnable garbage,50cm以上のものは粗大ごみへ。,"If it is more than 50cm, go to the oversized garbage.",足ひれ(フィン),Swimfin,nan,nan,nan
21,あ,アタッシュケース(金属製),attache case (made of metal)/bag,,粗大ごみ,Oversized garbage,革製で50cm未満のものは燃やすごみへ。金属製で30cm未満のものは小さな金属類へ。,"For leather with less than 50 mm, go to Burnable garbage. Metal and less than 30 cm to Small metal itemss.",アタッシュケース(金属製),Attache case (made of metal),nan,nan,nan
22,あ,厚紙,cardboard/paper,,古紙(雑誌・その他の紙）,Recycle paper (magazines、 other paper),,,厚紙,Cardboard,paper,cardboard,nan
23,あ,圧縮袋、圧縮パック,vacuum storage bag / space bag,,燃やすごみ,Burnable garbage,,,圧縮袋,vacuum storage bag,nan,nan,nan
24,あ,雨戸、あまど、シャッター,storm shutter,,粗大ごみ,Oversized garbage,,,雨戸,Shutter,shutter,nan,nan
25,あ,網戸,screen door /screen window,,粗大ごみ,Oversized garbage,,,網戸,Screen door,nan,nan,nan
26,あ,編み棒、あみ棒,knitting needle,,燃やすごみ,Burnable garbage,金属製のものは小さな金属類へ。芯は燃やすごみへ。,Metal ones go to Small metal itemss.,編み棒,knitting needle,nan,nan,nan
27,あ,アルコールランプ(ガラス製),alcohol lamp (made of glass),,燃えないごみ,Non-burnable garbage,金属製のものは小さな金属類へ。芯は燃やすごみへ。,Metal ones are to Small metal itemss. The core is to burn garbage.,アルコールランプ(ガラス製),Alcohol lamp (made of glass),nan,nan,nan
28,あ,あんか、足温器,foot warmer,◎,燃やすごみ,Burnable garbage,金属製のものは小さな金属類へ。芯は燃やすごみへ。,Metal ones go to Small metal itemss.,あんか・足温器,foot warmer,nan,nan,nan
29,あ,安全ピン、安全ぴん,safety pin,,小さな金属類,Small metal items,,,安全ピン,Safety pin,pin,nan,nan
30,あ,アウトドア用椅子,camping chair,,粗大ごみ,Oversized garbage,金属製で30cm未満のものは小さな金属類へ 金属製以外のもので50cm未満のものは燃やすごみへ。,"Metal and less than 30 cm to Small metal itemss are used other than metal, and those with less than 50cm are burned to Burnable. garbage.",アウトドア用椅子,camping chair,nan,nan,nan
31,あ,雨どい,rain gutter/house/drainpipe,,粗大ごみ,Oversized garbage,50cm未満のものは燃やすごみへ。,Those who are less than 50cm are to Burnable garbage.,雨どい,drainpipe,nan,nan,nan
32,あ,網戸の網,net of window screen/screen door,,燃やすごみ,Burnable garbage,,,網戸の網,Screen door network,nan,nan,nan
33,あ,アルミバッグ(カメラ・パソコン用),aluminum bag (for camera or computer),,粗大ごみ,Oversized garbage,30cm未満のものは小さな金属類へ。,Those with less than 30cm to Small metal itemss.,アルミバッグ(カメラ・パソコン用),Aluminum bag (for camera or computer),nan,nan,nan
34,あ,あく取り、アク取り,ladle (for harshness)(kitchen utensil)/scum removal,,小さな金属類,Small metal items,プラスチック製のものは燃やすごみへ。,Plastic ones are to burn garbage.,あく取り,scum removal(Kitchen Utensil),lable,nan,nan
35,あ,穴あけパンチ(金属製),hole puncher (made of metal),,小さな金属類,Small metal items,30cm以上のものは粗大ごみへ。,"If you are 30cm or more, go to oversized garbage.",穴あけパンチ(金属製),hole puncher (made of metal),nan,nan,nan
36,あ,穴あけパンチ(プラスチック製),hole puncher (made of plastic),,燃やすごみ,Burnable garbage,50cm以上のものは粗大ごみへ。,"If it is more than 50cm, go to the oversized garbage.",穴あけパンチ(プラスチック製),hole puncher (made of plastic),nan,nan,nan
37,あ,泡立て器(手動:金属製),manual whisk (made from metal)/mixer,,小さな金属類,Small metal items,芯は燃やすごみへ。,The core is classified as burnable trash.,泡立て器(手動:金属製),Manual whisk (made of metal),mixer,nan,nan
38,あ,泡立て器(手動:プラスチック・シリコン製),manual whisk (made from plastic or silicon)/mixer,,燃やすごみ,Burnable garbage,,,泡立て器(手動:プラスチック・シリコン製),Manual whisk (made of plastic or silicon),mixer,nan,nan
39,あ,泡立て器(電動:金属製)、ハンドミキサー(電動:金属製),whisk (made from metal)/hand mixer/electric mixer,◎,小さな金属類,Small metal items,,,泡立て器(電動:金属製),Electric mixer (made of metal),mixer,nan,nan
40,あ,泡立て器(電動:プラスチック製)、ハンドミキサー(電動:プラスチック製),whisk (made from plastic)/hand mixer/electric mixer,◎,燃やすごみ,Burnable garbage,外せる金属製のパーツは小さな金属類へ。,Removed metal parts to Small metal itemss.,泡立て器(電動:プラスチック製),Electric mixer (made of plastic),mixer,nan,nan
41,あ,アイスペール(ガラス製),ice pail (made of glass)/bucket,,燃えないごみ,Non-burnable garbage,,,アイスペール(ガラス製),Ice pale (made of glass),nan,nan,nan
42,あ,アイスの棒,ice cream stick,,燃やすごみ,Burnable garbage,,,アイスの棒,ice cream stick,stick,nan,nan
43,あ,アンテナ基台(金属製),antenna base (made of metal),,粗大ごみ,Oversized garbage,30cm未満のものは小さな金属類へ。,Those with less than 30cm to Small metal itemss.,アンテナ基台(金属製),Antenna base (made of metal),nan,nan,nan
44,あ,ICレコーダー、ボイスレコーダー,ic recorder / voice recoder,◎,燃やすごみ,Burnable garbage,金属製のものは小さな金属類へ。,Metal ones go to Small metal itemss.,ICレコーダー,IC recorder,nan,nan,nan
45,あ,足蹴り乗用玩具(おもちゃ車)、足こぎ車,foot kicking ride toy (toy car),,粗大ごみ,Oversized garbage,プラスチック製・木製で50cm未満のものは燃やすごみへ。,"Plastic, wooden and less than 50cm to Burnable garbage.",足蹴り乗用玩具(おもちゃ車),Foot kicking ride toy (toy car),nan,nan,nan
46,あ,アルミホイルの芯,aluminum foil core / aluminum foil tube,,古紙(雑誌・その他の紙）,Recycle paper (magazines、 other paper),,,アルミホイルの芯,Aluminum foil core,nan,nan,nan
47,あ,アロマオイルの容器(ガラス製),aroma oil container (made of glass)/herbal,,燃えないごみ,Non-burnable garbage,,,アロマオイルの容器(ガラス製),Aroma oil container (made of glass),nan,nan,nan
48,あ,アロマオイルの容器(プラスチック製),aroma oil container (made of plastic)/herbal,,燃やすごみ,Burnable garbage,,,アロマオイルの容器(プラスチック製),Aroma oil container (made of plastic),nan,nan,nan
49,あ,安全帯,safety belt,,燃やすごみ,Burnable garbage,事業で排出するものは、事業系ごみ。,What is excreted in the business is business garbage.,安全帯,Safety belt,nan,nan,nan
50,あ,アイマスク,sleeping mask/eye mask,,燃やすごみ,Burnable garbage,,,アイマスク,sleeping mask,nan,nan,nan
51,あ,青焼き,blueprint,,古紙(雑誌・その他の紙）,Recycle paper (magazines、 other paper),,,青焼き,blueprint,paper,nan,nan
52,あ,アイスホッケーの防具,ice hockey armor / ice hockey protective equipment/helmet,,燃やすごみ,Burnable garbage,50cm以上のものは粗大ごみへ。,"If it is more than 50cm, go to the oversized garbage.",アイスホッケー防具,Ice hockey armor,helmet,nan,nan
53,あ,アイゼン,crampons/shoe,,小さな金属類,Small metal items,,,アイゼン,crampons,nan,nan,nan
